ArpCode,lat,lon
BNL,33.25,81.38333333
BNM,9.083333333,147.5
BNN,65.48333333,12.21666667
BNO,43.58333333,118.95
BNP,32.96666667,70.51666667
BNQ,7.583333333,126.5666667
BNR,10.63333333,4.766666667
BNS,8.616666667,70.21666667
BNT,5.733333333,145.2166667
BNU,26.93333333,49.05
BNV,6.416666667,146.8166667
BNW,42.06666667,93.88333333
BNX,44.76666667,17.18333333
BNY,11.3,159.8166667
BNZ,5.783333333,144.6166667
BOA,5.816666667,13.06666667
BOB,16.43333333,151.75
BOC,9.35,82.25
BOD,44.83333333,0.716666667
BOE,1.033333333,15.38333333
BOF,38.91666667,77.01666667
BOG,4.7,74.15
BOH,50.78333333,1.833333333
BOI,43.56666667,116.2166667
BOJ,42.56666667,27.5
BOK,42.05,124.2833333
BOL,55.06666667,7.016666667
BOM,19.08333333,72.86666667
BON,12.13333333,68.28333333
BOO,67.26666667,14.36666667
BOP,5.966666667,15.63333333
BOQ,6.266666667,155.2166667
BOR,47.65,7.016666667
BOS,42.36666667,71
BOT,7.233333333,141.0833333
BOU,47.06666667,2.366666667
BOV,3.366666667,153.3333333
BOW,27.93333333,81.78333333
BOX,16.08333333,136.3
BOY,11.16666667,4.316666667
BOZ,6.316666667,16.38333333
BPA,40.75,73.48333333
BPB,9.133333333,147.5333333
BPC,6.05,10.11666667
BPD,7.75,147.0166667
BPE,39.96833333,119.7305556
BPF,8.583333333,158.1166667
BPG,15.85,52.38333333
BPH,8.2,126.3666667
BPI,42.58333333,110.1166667
BPL,44.895,82.29972222
BPN,1.266666667,116.9
BPS,16.43333333,39.08333333
BPT,29.95,94.02
BPU,33.3,131.5333333
BPX,30.55583333,97.10666667
BPY,16.75,44.48333333
BQA,15.76666667,121.5666667
BQB,33.71666667,115.25
BQE,11.3,15.85
BQH,51.33333333,0.036111111
BQI,18.11805556,21.62972222
BQK,31.25,81.45
BQL,22.91666667,139.9
BQN,18.5,67.13333333
BQO,9.266666667,3
BQQ,11.06666667,43.16666667
BQS,50.41666667,127.4
BQT,52.11666667,23.88333333
BQU,12.98333333,61.25
BQV,58.45,135.8833333
BQW,20.13333333,127.8
BRA,12.05,45
BRB,2.833333333,42.83333333
BRC,41.13333333,71.16666667
BRD,46.4,94.13333333
BRE,53.05,8.783333333
BRF,53.86666667,1.65
BRG,37.11666667,82.81666667
BRH,5.7,145.3666667
BRI,41.13333333,16.78333333
BRJ,36.73333333,146.9666667
BRK,30.05,145.95
BRL,40.78333333,91.11666667
BRM,10.06666667,69.33333333
BRN,46.91666667,7.5
BRO,25.91666667,97.41666667
BRP,7.666666667,146.35
BRQ,49.15611111,16.7
BRR,57.01666667,7.433333333
BRS,51.38333333,2.716666667
BRT,11.76666667,130.6333333
